compTime	totTime
16	71
9	62
11	39
13	43
10	31
10	37
9	29
4	61
9	34
11	35
11	50
4	36
11	37
11	74
8	43
12	32
10	42
8	40
8	50
11	28
10	60
8	31
7	29
8	30
8	38
7	46
7	26
10	38
8	66
5	44
6	37
8	66
8	64
8	37
10	34
9	35
6	36
7	28
6	65
6	54
9	72
6	54
9	37
9	32
10	30
5	36
8	29
6	45
4	63
7	52
3	36
3	21
6	60
10	29
8	43
8	36
6	27
8	38
9	25
9	60
8	45
7	76
8	30
8	46
6	38
9	35
11	48
8	44
9	62
9	33
9	36
8	54
9	60
7	33
9	30
7	48
9	62
8	31
5	32
3	26
7	35
8	40
9	35
8	32
10	32
9	63
9	38
11	39
11	39
11	55
9	54
9	36
8	30
9	42
8	59
10	62
19	55
7	33
5	38
9	64
9	31
9	35
9	32
9	37
8	35
6	40
5	33
9	55
7	36
8	40
8	62
7	45
8	67
9	29
9	35
9	30
8	58
8	23
9	32
9	33
9	69
17	71
5	33
8	31
8	29
8	41
8	41
8	29
8	37
8	38
9	53
9	32
8	31
8	52
6	48
8	29
6	33
9	40
8	44
5	41
5	39
9	36
9	33
8	24
6	34
8	48
9	28
7	60
8	52
5	33
11	33
5	62
9	43
6	45
6	35
11	29
8	63
8	36
5	58
10	35
8	35
9	62
7	45
6	40
8	37
7	36
6	31
9	32
9	39
6	44
7	32
9	44
8	34
7	53
7	42
8	75
8	34
7	49
8	37
7	41
6	30
7	43
7	31
7	60
8	53
6	39
5	39
9	68
9	33
9	59
8	35
8	38
8	36
8	42
4	57
7	56
20	47
8	44
7	53
5	31
